Date,Close
2010-07-21,23.946
2010-07-22,24.487
2010-07-23,24.507
2010-07-26,24.595
2010-07-27,24.517
2010-07-28,24.431
2010-07-29,24.256
2010-07-30,24.333
2010-08-02,24.839
2010-08-03,25.042
2010-08-04,25.069
2010-08-05,25.118
2010-08-06,24.926
2010-08-09,25.265
2010-08-10,25.285
2010-08-11,24.401
2010-08-12,24.276
2010-08-13,24.401
2010-08-16,24.467
2010-08-17,24.966
2010-08-18,25.109
2010-08-19,24.966
2010-08-20,24.527
2010-08-23,24.557
2010-08-24,24.198
2010-08-25,24.111
2010-08-26,24.238
2010-08-27,24.487
2010-08-30,24.517
2010-08-31,24.567
2010-09-01,25.158
2010-09-02,25.236
2010-09-03,25.429
2010-09-07,25.429
2010-09-08,25.497
2010-09-09,25.708
2010-09-10,25.747
2010-09-13,26.244
2010-09-14,26.312
2010-09-15,26.437
2010-09-16,26.486
2010-09-17,26.408
2010-09-20,26.96
2010-09-21,26.903
2010-09-22,26.737
2010-09-23,26.846
2010-09-24,27.076
2010-09-27,27.301
2010-09-28,27.36
2010-09-29,27.456
2010-09-30,27.35
2010-10-01,27.436
2010-10-04,27.194
2010-10-05,27.776
2010-10-06,27.698
2010-10-07,27.523
2010-10-08,27.649
2010-10-11,27.756
2010-10-12,27.883
2010-10-13,28.268
2010-10-14,28.078
2010-10-15,27.893
2010-10-18,27.912
2010-10-19,27.34
2010-10-20,27.824
2010-10-21,28.155
2010-10-22,28.598
2010-10-25,28.288
2010-10-26,28.009
2010-10-27,27.99
2010-10-28,27.893
2010-10-29,27.98
2010-11-01,28.039
2010-11-02,28.135
2010-11-03,28.221
2010-11-04,28.568
2010-11-05,28.338
2010-11-08,28.318
2010-11-09,28.164
2010-11-10,28.145
2010-11-11,28.106
2010-11-12,27.815
2010-11-15,27.903
2010-11-17,27.456
2010-11-18,27.659
2010-11-22,28.096
2010-11-23,27.416
2010-11-24,27.776
2010-11-26,27.864
2010-11-29,27.514
2010-11-30,27.436
2010-12-01,27.903
2010-12-02,28.308
2010-12-03,28.318
2010-12-06,28.378
2010-12-07,28.473
2010-12-08,28.298
2010-12-09,28.298
2010-12-10,28.443
2010-12-13,28.628
2010-12-14,28.736
2010-12-15,28.502
2010-12-16,28.648
2010-12-17,28.638
2010-12-20,28.415
2010-12-21,28.648
2010-12-22,28.618
2010-12-23,28.648
2010-12-27,28.688
2010-12-28,28.688
2010-12-29,28.879
